TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME
44.0,52180,AGENT,766.554,1523.23,MIA
44.1,52180,AGENT,767.061,1523.24,MIA
44.2,52180,AGENT,767.569,1523.25,MIA
44.3,52180,AGENT,768.077,1523.27,MIA
44.4,52180,AGENT,768.584,1523.28,MIA
44.5,52180,AGENT,769.092,1523.29,MIA
44.6,52180,AGENT,769.599,1523.31,MIA
44.7,52180,AGENT,770.107,1523.32,MIA
44.8,52180,AGENT,770.615,1523.34,MIA
44.9,52180,AGENT,771.122,1523.36,MIA
45.0,52180,AGENT,771.63,1523.37,MIA
45.1,52180,AGENT,772.137,1523.39,MIA
45.2,52180,AGENT,772.645,1523.41,MIA
45.3,52180,AGENT,773.152,1523.42,MIA
45.4,52180,AGENT,773.66,1523.44,MIA
45.5,52180,AGENT,774.168,1523.46,MIA
45.6,52180,AGENT,774.675,1523.48,MIA
45.7,52180,AGENT,775.183,1523.49,MIA
45.8,52180,AGENT,775.69,1523.51,MIA
45.9,52180,AGENT,776.198,1523.53,MIA
46.0,52180,AGENT,776.705,1523.55,MIA
46.1,52180,AGENT,777.213,1523.56,MIA
46.2,52180,AGENT,777.72,1523.58,MIA
46.3,52180,AGENT,778.228,1523.6,MIA
46.4,52180,AGENT,778.735,1523.62,MIA
46.5,52180,AGENT,779.243,1523.63,MIA
46.6,52180,AGENT,779.75,1523.65,MIA
46.7,52180,AGENT,780.258,1523.67,MIA
46.8,52180,AGENT,780.765,1523.69,MIA
46.9,52180,AGENT,781.273,1523.7,MIA
47.0,52180,AGENT,781.78,1523.72,MIA
47.1,52180,AGENT,782.288,1523.74,MIA
47.2,52180,AGENT,782.796,1523.75,MIA
47.3,52180,AGENT,783.303,1523.77,MIA
47.4,52180,AGENT,783.811,1523.79,MIA
47.5,52180,AGENT,784.318,1523.8,MIA
47.6,52180,AGENT,784.826,1523.82,MIA
47.7,52180,AGENT,785.333,1523.83,MIA
47.8,52180,AGENT,785.841,1523.85,MIA
47.9,52180,AGENT,786.349,1523.87,MIA
48.0,52180,AGENT,786.856,1523.88,MIA
48.1,52180,AGENT,787.364,1523.9,MIA
48.2,52180,AGENT,787.871,1523.91,MIA
48.3,52180,AGENT,788.379,1523.93,MIA
48.4,52180,AGENT,788.887,1523.94,MIA
48.5,52180,AGENT,789.394,1523.96,MIA
48.6,52180,AGENT,789.902,1523.97,MIA
48.7,52180,AGENT,790.409,1523.99,MIA
48.8,52180,AGENT,790.917,1524.0,MIA
48.9,52180,AGENT,791.425,1524.01,MIA
